start,end,prefix_start4,prefix_end4,first_digit,operator_hint,raw
55400000,55489999,5540,5548,5,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
55490000,55519999,5549,5551,5,Government use,Mobile Service 流動服務 Government use
55600000,55699999,5560,5569,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
55700000,55799999,5570,5579,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
55800000,55899999,5580,5589,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
55900000,55999999,5590,5599,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
56000000,56099999,5600,5609,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
56100000,56199999,5610,5619,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
56200000,56299999,5620,5629,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
56300000,56399999,5630,5639,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
56400000,56499999,5640,5649,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
56600000,56699999,5660,5669,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
56800000,56899999,5680,5689,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
56900000,56999999,5690,5699,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
57000000,57019999,5700,5701,5,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
57020000,57039999,5702,5703,5,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
57040000,57059999,5704,5705,5,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
57060000,57069999,5706,5706,5,Hong Kong Broadband Network Limited 香港寬頻網絡有限公司,Mobile Service 流動服務 Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
57070000,57089999,5707,5708,5,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
57090000,57099999,5709,5709,5,CITIC Telecom International Limited中信國際電訊有限公司,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
57100000,57179999,5710,5717,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
57200000,57299999,5720,5729,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
57300000,57369999,5730,5736,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
57400000,57449999,5740,5744,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
57450000,57469999,5745,5746,5,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
57470000,57489999,5747,5748,5,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
57490000,57499999,5749,5749,5,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
57600000,57679999,5760,5767,5,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
57700000,57799999,5770,5779,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
57800000,57899999,5780,5789,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
57900000,57999999,5790,5799,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
61900000,61999999,6190,6199,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
62000000,62099999,6200,6209,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
62100000,62199999,6210,6219,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
62200000,62299999,6220,6229,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
62300000,62399999,6230,6239,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
62400000,62439999,6240,6243,6,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
62500000,62599999,6250,6259,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
62610000,62619999,6261,6261,6,Webbing Hong Kong Limited,Mobile Service 流動服務 Webbing Hong Kong Limited
62630000,62679999,6263,6267,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
62680000,62689999,6268,6268,6,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
62700000,62799999,6270,6279,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
62800000,62899999,6280,6289,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
62900000,62999999,6290,6299,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
63000000,63099999,6300,6309,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
63100000,63199999,6310,6319,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
63200000,63299999,6320,6329,6,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
63300000,63399999,6330,6339,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
63400000,63499999,6340,6349,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
63500000,63599999,6350,6359,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
63600000,63609999,6360,6360,6,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
63610000,63619999,6361,6361,6,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
63620000,63629999,6362,6362,6,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
63640000,63689999,6364,6368,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
63690000,63699999,6369,6369,6,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
63700000,63799999,6370,6379,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
63800000,63899999,6380,6389,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
63900000,63999999,6390,6399,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
64000000,64099999,6400,6409,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
64100000,64199999,6410,6419,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
64200000,64299999,6420,6429,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
64300000,64399999,6430,6439,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
64400000,64499999,6440,6449,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
64500000,64511999,6450,6451,6,CITIC Telecom International Limited中信國際電訊有限公司,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
64512000,64519999,6451,6451,6,CITIC Telecom International Limited中信國際電訊有限公司,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
64520000,64529999,6452,6452,6,CITIC Telecom International Limited中信國際電訊有限公司,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
64530000,64599999,6453,6459,6,CITIC Telecom International Limited中信國際電訊有限公司,Mobile Service 流動服務 CITIC Telecom International Limited中信國際電訊有限公司
64600000,64699999,6460,6469,6,✓  SmarTone Mobile Communications Limited 數碼通電訊有限公司,✓ Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
64700000,64799999,6470,6479,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
64800000,64899999,6480,6489,6,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
64900000,64999999,6490,6499,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
65000000,65099999,6500,6509,6,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
65100000,65199999,6510,6519,6,China-Hongkong Telecom Limited 中港通電訊有限公司,Mobile Service 流動服務 China-Hongkong Telecom Limited 中港通電訊有限公司
65200000,65299999,6520,6529,6,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
65300000,65399999,6530,6539,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
65400000,65499999,6540,6549,6,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
65500000,65599999,6550,6559,6,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
65600000,65699999,6560,6569,6,✓  China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,✓ Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
